"","name"
"1","1,2,3-Propanetricarboxylic acid"
"2","1,2-Cyclohexanediol"
"3","1-Aminocyclopropanecarboxylic acid"
"4","1-Butanethiol"
"5","1-Isomangostin hydrate"
"6","1-Methoxy-1-(2,4,5-trimethoxyphenyl)-2-propanol"
"7","1-Methyl-3,6-(1H,2H)-pyridazinedione"
"8","1-Methyladenine"
"9","1-Methylguanosine"
"10","1-Methylinosine"
"11","1-Stearoylglycerophosphoglycerol"
"12","1-hydroxy-2-naphthoate"
"13","10-Hydroxy-2-decenoic acid"
"14","10-Hydroxydecanoic acid"
"15","10Z-Heptadecenoic acid"
"16","10Z-Nonadecenoic acid"
"17","10Z-Pentadecenoic acid"
"18","11(R)-HETE"
"19","11-prostaglandin f2 isomer"
"20","11Z-Eicosenoic acid"
"21","12-Hydroxydodecanoic acid"
"22","13,14-dihydro-15-keto-tetranor prostaglandin f1?"
"23","13-HODE"
"24","13-L-Hydroperoxylinoleic acid"
"25","15-Keto-prostaglandin E2"
"26","15beta-Hydroxydesogestrel"
"27","16-Hydroxyhexadecanoic acid"
"28","18-Oxocortisol"
"29","2',4'-Dihydroxyacetophenone"
"30","2'-Deoxyguanosine 5'-monophosphate (dGMP)"
"31","2,3-dinor prostaglandin e1"
"32","2,6-Pyridinedicarboxylic acid"
"33","2-(methylsulfonyl)-3-(pyrazin-2-ylamino)acrylonitrile"
"34","2-Aminooctanedioic acid"
"35","2-Dodecylbenzenesulfonic acid"
"36","2-Furoic acid"
"37","2-Furoylglycine"
"38","2-Hydroxy-3-methylbutyric acid"
"39","2-Hydroxy-3-methylpentanoic acid"
"40","2-Hydroxyadipic acid"
"41","2-Hydroxybenzaldehyde"
"42","2-Hydroxyethanesulfonate"
"43","2-Hydroxyhippuric acid"
"44","2-Hydroxymyristic acid"
"45","2-Ketobutyric acid"
"46","2-Methoxyacetaminophen sulfate"
"47","2-Methoxyestradiol-3-methylether"
"48","2-Methoxyestrone 3-glucuronide"
"49","2-Methylglutaric acid"
"50","2-Methylhippuric acid"
"51","2-O-Methylascorbic acid"
"52","2-Phenylethanol glucuronide"
"53","3,4,5-Trimethoxyphenyl acetate"
"54","3,4,5-trihydroxycyclohex-1-ene-1-carboxylic acid"
"55","3,4-Dihydroxybenzeneacetic acid"
"56","3,4-Dihydroxyhydrocinnamic acid"
"57","3,4-Dihydroxymandelic acid"
"58","3,4-Dihydroxyphenylglycol"
"59","3-(1-cyano-1,2-dihydroisoquinolin-2-yl)-3-oxopropyl propionate"
"60","3-(2-Hydroxyphenyl)propanoic acid"
"61","3-(3,4,5-Trimethoxyphenyl)propanoic acid"
"62","3-Amino-4-hydroxybenzoic acid"
"63","3-Hydroxybenzoic acid"
"64","3-Hydroxybenzyl alcohol"
"65","3-Indoleacetonitrile"
"66","3-Indoxyl sulphate"
"67","3-Methoxy-4-hydroxyphenylethyleneglycol sulfate"
"68","3-Methoxytyrosine"
"69","3-Methyl-2-oxovaleric acid"
"70","3-Methyladipic acid"
"71","3-Methylcrotonylglycine"
"72","3-Methylglutaconic acid"
"73","3-Methyloxindole"
"74","3-Methylphenylacetic acid"
"75","3-Methyluric acid"
"76","3-O-Methylglycyrol"
"77","3-O-p-Coumaroylquinic acid"
"78","3-Oxododecanoic acid"
"79","3-Oxooctadecanoic acid"
"80","3-Sulfinoalanine"
"81","3-acetylacetanilide  isomer"
"82","3-dehydroshikimate"
"83","3-hydroxydodec-2-enedioic acid"
"84","3-hydroxypentadecanoic acid"
"85","3-tert-Butyladipic acid"
"86","4-(1,1,3,3-Tetramethylbutyl)-phenol"
"87","4-(2-Aminophenyl)-2,4-dioxobutanoic acid"
"88","4-Acetamidobenzoic acid"
"89","4-Aminohippuric acid"
"90","4-Dodecylbenzenesulfonic acid"
"91","4-Fumarylacetoacetic acid"
"92","4-Hydroxyphenylpyruvic acid"
"93","4-Hydroxyproline"
"94","4-Hydroxypropofol"
"95","4-Methylphenol"
"96","4-Nitrophenol"
"97","4-Pyridoxic acid"
"98","5-Aminolevulinic acid"
"99","5-Hydroxyindoleacetic acid"
"100","5-Methylcytidine"
"101","5-Sulfosalicylic acid"
"102","5b-Cyprinol sulfate"
"103","6,8-Pentacosanedione"
"104","6-Keto-prostaglandin F1a"
"105","6-Methyladenine"
"106","6-Methylnicotinamide"
"107","6-Phosphogluconic acid"
"108","7-Epi-12-hydroxyjasmonic acid"
"109","7-Methylguanine"
"110","7-Methylhypoxanthine"
"111","7-Sulfocholic acid"
